sleeve,weight,component_contribution,pct_risk_contribution,risk_to_capital_ratio
equity,0.2498031907061957,0.018350033286113447,0.3910225471300236,1.5653224685585465
commodity,0.19373681154012334,0.018236759151461585,0.3886087781757711,2.005859263846145
fixed_income,0.3095417988113382,0.009824408099688941,0.20934921584542,0.6763196978544913
equity_beta,0.0071908101923107036,0.0005222406197783984,0.011128473402554953,1.5475965996786958
real_estate,0.0,0.0,0.0,
cash,0.239727388750032,-5.11587044028545e-06,-0.0001090145537698533,-0.00045474384190420853
