portfolio,sample,horizon_days,confidence,historical_var,historical_es,parametric_normal_var,parametric_normal_es,parametric_t_var,parametric_t_es,cornish_fisher_var,monte_carlo_var,monte_carlo_es,historical_var_usd,historical_es_usd,parametric_normal_var_usd,parametric_normal_es_usd,parametric_t_var_usd,parametric_t_es_usd,cornish_fisher_var_usd,monte_carlo_var_usd,monte_carlo_es_usd
Minimum Variance,full_sample,10,0.95,0.014893839508632743,0.02297868217805512,0.014521727284263543,0.01876818894578289,0.012395746531682258,0.019916289873627098,0.01369333427635668,0.017431617505515282,0.025585054136072018,14893.839508632742,22978.682178055118,14521.727284263543,18768.18894578289,12395.746531682258,19916.289873627098,13693.33427635668,17431.61750551528,25585.054136072016
Minimum Variance,full_sample,10,0.99,0.02672775354931903,0.03871906421893992,0.021447359955443984,0.024891063037541246,0.02376993090455732,0.03399395100411623,0.048438938002859866,0.02928581690708588,0.04122773916181635,26727.75354931903,38719.06421893992,21447.359955443982,24891.063037541247,23769.93090455732,33993.95100411623,48438.93800285987,29285.816907085882,41227.73916181635
Minimum Variance,trailing_756d,1,0.95,0.00475110624019826,0.006716849248032572,0.004717072092971518,0.006029160669242941,0.00561045331058583,0.012025421643835148,0.004835011947996906,0.0035960041351128995,0.006161414321599177,4751.10624019826,6716.849248032572,4717.072092971518,6029.160669242941,5610.45331058583,12025.421643835149,4835.011947996906,3596.0041351128993,6161.414321599176
Minimum Variance,trailing_756d,1,0.99,0.007497000364853415,0.010289914302810618,0.006856981560105793,0.007921030604757675,0.013714467392361662,0.027470144998469004,0.009106918560688623,0.00729170930306612,0.01132146124961339,7497.000364853415,10289.914302810617,6856.9815601057935,7921.030604757675,13714.467392361661,27470.144998469004,9106.918560688622,7291.70930306612,11321.46124961339
Minimum Variance,trailing_756d,10,0.95,0.015024317124465541,0.021240542323772184,0.011854687095045786,0.016003875487951045,0.014940147203691023,0.035226058254612926,0.012227645663836068,0.01052027708868202,0.0164680290857899,15024.31712446554,21240.542323772184,11854.687095045787,16003.875487951045,14940.147203691024,35226.05825461292,12227.645663836069,10520.27708868202,16468.0290857899
Minimum Variance,trailing_756d,10,0.99,0.023707596772050143,0.0325395661248251,0.018621674997747327,0.021986493520973482,0.0405672898921807,0.0840665618864524,0.025736600511476658,0.019171093430915692,0.027894003071138967,23707.596772050143,32539.5661248251,18621.674997747326,21986.493520973483,40567.2898921807,84066.5618864524,25736.60051147666,19171.09343091569,27894.003071138966
Volatility Target 8%,full_sample,1,0.95,0.006477037434472257,0.010711517796596482,0.007374688612884232,0.009324342807891751,0.006123128760143037,0.010052684557977693,0.005951744366896217,0.009132937986043884,0.015205835768241048,6477.037434472258,10711.517796596481,7374.688612884232,9324.342807891751,6123.128760143038,10052.684557977693,5951.744366896217,9132.937986043884,15205.835768241048
Volatility Target 8%,full_sample,1,0.99,0.012179725339942687,0.019722609544063713,0.01055441561072953,0.012135503748463719,0.011865051769734682,0.017923797970488747,0.032724584685952435,0.01793287292812331,0.027544647623122857,12179.725339942688,19722.609544063715,10554.415610729531,12135.50374846372,11865.051769734682,17923.797970488748,32724.584685952435,17932.87292812331,27544.64762312286
Volatility Target 8%,full_sample,10,0.95,0.020482190783105935,0.03387279343467308,0.0212702052385521,0.027435553144477945,0.016272664219468453,0.02869901073334612,0.016770460437799062,0.029935582705556418,0.0437659508918472,20482.190783105936,33872.79343467308,21270.2052385521,27435.553144477944,16272.664219468454,28699.01073334612,16770.46043779906,29935.58270555642,43765.9508918472
Volatility Target 8%,full_sample,10,0.99,0.03851567334948748,0.062368367561416345,0.031325384889272556,0.03632522458598661,0.0344302190791069,0.053589656838381516,0.10143361527800582,0.04992590782609199,0.0699964294186772,38515.67334948748,62368.367561416344,31325.384889272555,36325.22458598661,34430.2190791069,53589.65683838152,101433.61527800582,49925.90782609199,69996.4294186772
Volatility Target 8%,trailing_756d,1,0.95,0.006462053107178443,0.009617837546088873,0.006647938609014456,0.008483942246946373,0.007112714539087253,0.015295219532645035,0.006102257572413125,0.006780719874637578,0.010205642042616338,6462.053107178443,9617.837546088873,6647.938609014456,8483.942246946373,7112.714539087253,15295.219532645035,6102.257572413126,6780.719874637578,10205.642042616339
Volatility Target 8%,trailing_756d,1,0.99,0.011095312439024566,0.015207885033944166,0.009642310816467268,0.011131233098277234,0.01744965343686749,0.034995476713711685,0.017049679678395487,0.011965001687689996,0.016448640873126585,11095.312439024567,15207.885033944167,9642.310816467269,11131.233098277235,17449.653436867487,34995.47671371169,17049.67967839549,11965.001687689997,16448.640873126584
Volatility Target 8%,trailing_756d,10,0.95,0.020434806179652053,0.03041427281112551,0.017061711269716458,0.02286766455793643,0.018620605108293622,0.04449595785363761,0.015336116318094542,0.01877524990897493,0.02628936317039149,20434.806179652052,30414.27281112551,17061.71126971646,22867.66455793643,18620.60510829362,44495.95785363761,15336.116318094542,18775.249908974933,26289.363170391487
Volatility Target 8%,trailing_756d,10,0.99,0.03508645865851572,0.048091555101250676,0.02653074760757356,0.03123913327706814,0.05130887605926961,0.10679364103689637,0.04995490468027604,0.030556079635950015,0.03813247683754353,35086.45865851572,48091.55510125068,26530.74760757356,31239.13327706814,51308.87605926961,106793.64103689637,49954.904680276035,30556.079635950016,38132.47683754353
60/40 Benchmark,full_sample,1,0.95,0.010774796891901813,0.018043042094940082,0.011893170852399486,0.0150067514930656,0.009742065820409696,0.017773058282064536,0.009175344581866265,0.010048797533398816,0.01669402722702361,10774.796891901813,18043.042094940083,11893.170852399486,15006.7514930656,9742.065820409696,17773.058282064536,9175.344581866266,10048.797533398816,16694.02722702361
60/40 Benchmark,full_sample,1,0.99,0.022301950932806923,0.032147468402289985,0.01697116696496463,0.019496150846435474,0.020824324756458578,0.035314093569374566,0.04590955263578956,0.01966870317132812,0.030108512068044043,22301.95093280692,32147.468402289986,16971.16696496463,19496.150846435474,20824.324756458576,35314.09356937456,45909.55263578956,19668.70317132812,30108.51206804404
60/40 Benchmark,full_sample,10,0.95,0.03407289950411279,0.0570571089383067,0.03512690963975434,0.04497291614286554,0.02659693358812954,0.0519931616386013,0.02653238834022839,0.03377300892805397,0.04875093055645101,34072.89950411279,57057.1089383067,35126.90963975434,44972.91614286554,26596.93358812954,51993.1616386013,26532.38834022839,33773.00892805397,48750.93055645101
60/40 Benchmark,full_sample,10,0.99,0.07052496121298668,0.10165922115953048,0.051184943304940965,0.05916964342560146,0.06164211344579832,0.10746278566388703,0.1426961538331274,0.05572493624064999,0.07665844269541548,70524.96121298669,101659.22115953048,51184.94330494096,59169.643425601455,61642.11344579832,107462.78566388703,142696.1538331274,55724.936240649986,76658.44269541548
60/40 Benchmark,trailing_756d,1,0.95,0.009420073043210502,0.013650482567292527,0.009615039225217005,0.012197055409342593,0.008423483414123089,0.012814390959274578,0.006678286454802348,0.008914459333886985,0.013485242568674732,9420.073043210503,13650.482567292527,9615.039225217006,12197.055409342593,8423.48341412309,12814.390959274579,6678.286454802348,8914.459333886985,13485.242568674732
60/40 Benchmark,trailing_756d,1,0.99,0.014741990722872083,0.022439607342949155,0.013826097058222084,0.01592000436271354,0.015093870117878449,0.020952119782349742,0.030798536085260165,0.0160171359662601,0.02191637588727746,14741.990722872084,22439.607342949155,13826.097058222083,15920.004362713542,15093.870117878449,20952.119782349742,30798.536085260166,16017.1359662601,21916.375887277463
60/40 Benchmark,trailing_756d,10,0.95,0.029788886541698933,0.04316661607306707,0.02665312463677086,0.03481817673402441,0.021722914032766025,0.03560818287066336,0.01736629695745099,0.026403306324450353,0.036357799356964995,29788.886541698932,43166.616073067074,26653.12463677086,34818.17673402441,21722.914032766024,35608.18287066336,17366.29695745099,26403.306324450354,36357.799356965
60/40 Benchmark,trailing_756d,10,0.99,0.04661826792934789,0.07096026900355844,0.03996965874775989,0.046591175039216615,0.0428165288907358,0.06134194093238227,0.09364122352153235,0.04203559453413508,0.052403045559591174,46618.26792934789,70960.26900355844,39969.65874775989,46591.175039216614,42816.5288907358,61341.94093238228,93641.22352153236,42035.59453413508,52403.04555959118
