,cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,ulcer_index,skewness,excess_kurtosis,jarque_bera_stat,jarque_bera_pvalue,worst_day,best_day,pct_positive_days,beta,alpha,tracking_error,information_ratio,upside_capture,downside_capture,annual_turnover,cost_drag_annual
equal_weight,6.68979442338384,0.11869770037861938,0.13080233202508434,0.8228317455424887,1.1760968301962662,0.35500917779490043,-0.3343510754169703,0.05429991830530232,-0.10686376122997139,11.597546606065439,25693.208247526018,0.0,-0.06724851819005942,0.0782871998565702,0.5594588697359808,0.6181535884515238,0.03188788168705279,0.04934040863049739,0.5928878890912009,1.0209638954770939,0.9721960048154942,0.1663197891532433,0.00016631978915324333
minimum_variance,1.6690214325748314,0.05546373654909509,0.05101495755114042,0.8304183345650832,1.1774963621801278,0.4306821192963569,-0.12878114522077455,0.030607175335145616,-0.4555012530226056,10.262146233436098,20268.61747309401,0.0,-0.033637419225565124,0.030980398513667767,0.5465852061968143,0.10958352456605673,0.02912383335630052,0.10140968313741942,-0.35703270432372025,0.24791125376243062,0.18974086063633125,0.17946122683125576,0.00017946122683125577
volatility_target,2.759600131203784,0.07553521346734238,0.07406753828934487,0.8434045166031524,1.1915191810642427,0.47980827139073706,-0.15742791021172176,0.034346621179703725,-0.31735723103653,19.488455044027486,72602.88202729054,0.0,-0.05254684746826673,0.05933101822571858,0.5640410211651756,0.2954575135032136,0.02649534230390563,0.06839873884554121,-0.23276395457237267,0.5413091754229328,0.4948396223482873,0.28978364138143503,0.00028978364138143505
benchmark,3.6484923463791112,0.08815986150069954,0.118285208684718,0.6627677464866654,0.9371141290531413,0.29553950678380336,-0.2983014435535054,0.061295028292946876,0.08381137397026585,16.88693226828767,54460.66336371409,0.0,-0.07097074579788502,0.09927956274236749,0.554440322932577,0.5898485152142345,0.006123963569793647,,,,,0.09510854930551106,9.510854930551107e-05
