year,observations,exceptions,worst_loss,average_var,exception_rate
2010,133,0,-0.01944149915944387,0.03470800971982868,0.0
2011,252,4,-0.03589943031872727,0.021962311071572413,0.015873015873015872
2012,250,0,-0.016592530975859825,0.019826231999517965,0.0
2013,252,1,-0.024415728384611618,0.017158497291214603,0.003968253968253968
2014,252,3,-0.015862528421681055,0.011974157212265394,0.011904761904761904
2015,252,5,-0.0269470358446778,0.013324403333568914,0.01984126984126984
2016,252,2,-0.018833907218626805,0.015858872247182798,0.007936507936507936
2017,251,0,-0.008029992218730391,0.01343524777123756,0.0
2018,251,11,-0.02537515724119001,0.012984223831122115,0.043824701195219126
2019,252,0,-0.01570730203037976,0.016651857958996576,0.0
2020,253,9,-0.06724851819005942,0.03322059516073947,0.03557312252964427
2021,252,0,-0.018319802368863703,0.03926927080680695,0.0
2022,251,7,-0.02949467078347648,0.023715350062033562,0.027888446215139442
2023,250,0,-0.014521793763263045,0.020878042328951723,0.0
2024,252,2,-0.020345844792475042,0.016855283637702733,0.007936507936507936
2025,250,4,-0.04123350545902223,0.01508194889883782,0.016
2026,178,0,-0.011126282131517428,0.015487030330347002,0.0
