,weight,marginal_var,component_var,pct_var_contribution
AAPL,0.07524494996863823,0.023100617410648523,0.0017382048013089013,0.13409545084070568
MSFT,0.08492510182350477,0.016536489560764214,0.0014043630597512244,0.10834091443054683
JPM,0.06780237748179657,0.018738882604863265,0.0012705407919620106,0.09801706920919698
CAT,0.04836247642376163,0.0256359656420433,0.0012398187839636823,0.09564699089036746
XOM,0.07698202968748859,0.015442506854272009,0.0011887955211048137,0.0917107530941816
SPY,0.06484243841702124,0.016989657129751434,0.0011016507961622132,0.08498789099486641
NEE,0.058196551018773225,0.018591197689573753,0.0010819435848413777,0.08346755956735538
VNQ,0.060688414547004854,0.016135488655204776,0.0009792372244255612,0.07554418040409683
GLD,0.06772414713393664,0.011755356937522256,0.0007961215228487001,0.06141754668379474
DBC,0.07955433587759787,0.007731928940048918,0.000615108471878371,0.047453123930135406
JNJ,0.06620688408143013,0.008172230320298653,0.0005410579055027616,0.041740423058713595
PG,0.06357752468924667,0.008285230744037527,0.0005267544621851514,0.04063697041676651
TLT,0.05961652778972934,0.005447744693351354,0.00032477562290253155,0.02505512212507485
AGG,0.06207303970552178,0.0024878981355674536,0.00015443139975237217,0.01191375616852609
BIL,0.06420320135454853,-5.6030125845584136e-06,-3.597313451584732e-07,-2.7751814328343004e-05
