portfolio,method,confidence,window,n_observations,n_exceptions,expected_exceptions,observed_rate,kupiec_p_value,kupiec_reject,independence_p_value,independence_reject,conditional_coverage_p_value,basel_zone,avg_breach_severity
Volatility Target 8%,historical,0.95,500,4083,214,204.15000000000018,0.05241244183198628,0.48267150661430525,False,1.5299072597674268e-07,True,8.134277796889577e-07,n/a (defined for 99% only),1.675483349032147
Volatility Target 8%,historical,0.99,500,4083,50,40.830000000000034,0.01224589762429586,0.163515664641251,False,8.521519079263129e-08,True,2.2378360542418818e-07,Green,1.621264154773821
Volatility Target 8%,normal,0.95,500,4083,194,204.15000000000018,0.04751408278226794,0.4625339693413164,False,8.470962542528326e-08,True,4.4842628543761975e-07,n/a (defined for 99% only),1.6215962101548556
Volatility Target 8%,normal,0.99,500,4083,77,40.830000000000034,0.018858682341415627,4.02892975315261e-07,True,1.0724771404291289e-08,True,2.0972112935169207e-13,Green,1.5979500292028477
Volatility Target 8%,student_t,0.95,500,4083,208,204.15000000000018,0.05094293411707078,0.7828259978212332,False,3.852442376217624e-08,True,2.635129088268684e-07,n/a (defined for 99% only),1.617857198042017
Volatility Target 8%,student_t,0.99,500,4083,30,40.830000000000034,0.0073475385745775165,0.07382732344223109,False,4.5350405578625796e-05,True,4.945243393317256e-05,Green,1.7402291444668259
Volatility Target 8%,cornish_fisher,0.95,500,4083,193,204.15000000000018,0.04726916482978202,0.41925707159674674,False,3.4765511974788055e-06,True,1.521732585041402e-05,n/a (defined for 99% only),1.5996396136663742
Volatility Target 8%,cornish_fisher,0.99,500,4083,31,40.830000000000034,0.007592456527063434,0.106377293952295,False,6.0177554960905155e-05,True,8.677922245237113e-05,Green,1.5341995671609538
60/40 Benchmark,historical,0.95,500,4083,203,204.15000000000018,0.049718344354641196,0.9341290082975876,False,7.158669467099976e-06,True,4.196827245206425e-05,n/a (defined for 99% only),1.6637817818685279
60/40 Benchmark,historical,0.99,500,4083,55,40.830000000000034,0.013470487386725447,0.03428368021908523,True,6.175178278833293e-06,True,3.891131455269203e-06,Green,1.516235033565977
60/40 Benchmark,normal,0.95,500,4083,194,204.15000000000018,0.04751408278226794,0.4625339693413164,False,4.497151561633217e-05,True,0.00018513402675301993,n/a (defined for 99% only),1.6805634801264624
60/40 Benchmark,normal,0.99,500,4083,91,40.830000000000034,0.02228753367621847,1.0966005881130059e-11,True,6.496037330272486e-08,True,0.0,Yellow,1.5454736836361334
60/40 Benchmark,student_t,0.95,500,4083,230,204.15000000000018,0.05633112907176096,0.06861561143311568,False,1.3772869227324236e-06,True,1.6512459759532305e-06,n/a (defined for 99% only),1.6893167393062298
60/40 Benchmark,student_t,0.99,500,4083,52,40.830000000000034,0.012735733529267695,0.09189484337705967,False,2.759284918663063e-06,True,4.08183970579401e-06,Green,1.49398146066403
60/40 Benchmark,cornish_fisher,0.95,500,4083,208,204.15000000000018,0.05094293411707078,0.7828259978212332,False,0.00041352455010557065,True,0.0018865164462109618,n/a (defined for 99% only),1.659433317945909
60/40 Benchmark,cornish_fisher,0.99,500,4083,35,40.830000000000034,0.008572128337007103,0.3472253452479057,False,7.210611441266224e-09,True,3.456717356797867e-08,Green,1.4148545801766697
