sleeve,weight,component_contribution,pct_risk_contribution,risk_to_capital_ratio
equity,0.4553604158005201,0.04519177837609787,0.591475731727239,1.2989177609727653
commodity,0.18077398748997903,0.013070238163341285,0.17106493613007243,0.9462917674455523
fixed_income,0.2713593178123429,0.008243543616620795,0.10789254523440167,0.39760029655224216
equity_beta,0.050129188156145164,0.005252805433945735,0.06874938427532933,1.3714441985612245
real_estate,0.042377090741012806,0.004646761369519698,0.060817402632957596,1.435148132386968
cash,0.0,0.0,0.0,
