sleeve,weight,component_contribution,pct_risk_contribution,risk_to_capital_ratio
equity,0.5412978951746398,0.06135595810490888,0.6936561315078339,1.281468370173578
commodity,0.1472784830115345,0.009629936220013348,0.10887067061393015,0.739216404105708
equity_beta,0.06484243841702124,0.007517432979321534,0.0849878909948664,1.3106831431644148
real_estate,0.060688414547004854,0.006682108551203799,0.07554418040409683,1.2447875095762433
fixed_income,0.12168956749525112,0.0032700077815747486,0.03696887829360093,0.3037966117764666
cash,0.06420320135454853,-2.4547309249089984e-06,-2.7751814328342997e-05,-0.0004322496969440745
