,weight,marginal_var,component_var,pct_var_contribution
DBC,0.18976421768963536,0.009789677980390857,0.0018577305833823205,0.38205042616066337
MSFT,0.0599021326653285,0.009498120862795134,0.0005689576959944786,0.11700864063201187
AGG,0.23177360951530743,0.0024282979430405964,0.0005628153792371154,0.11574544630461275
JNJ,0.0737705475394085,0.007075033023758921,0.0005219290600220925,0.10733699578979142
PG,0.0775710919856755,0.006522685379425441,0.0005059718275610316,0.10405532108592051
TLT,0.07776818929603076,0.005852661328029915,0.0004551508740437892,0.09360376954080722
JPM,0.038559418515783206,0.007896882101681052,0.00030449918192851735,0.06262158962229988
SPY,0.0071908101923107036,0.007525230537899127,5.4112504451412804e-05,0.011128473402554956
GLD,0.003972593850487993,0.008027542246903923,3.189016496458309e-05,0.006558352015107798
AAPL,0.0,0.008846985437812638,0.0,0.0
XOM,0.0,0.010359547147119064,0.0,0.0
CAT,0.0,0.00782543230091864,0.0,0.0
NEE,0.0,0.009353983209808861,0.0,0.0
VNQ,0.0,0.008793155071361403,0.0,0.0
BIL,0.239727388750032,-2.2112042936315528e-06,-5.300862313051512e-07,-0.00010901455376985333
